Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 6-16-2017 10:31PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  Second_Code.ngd
output file: Second_Code_pad.csv
Part type:   xc95288xl
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P36,GND,,GND,,,,,,,,,,
P37,VCC,,VCCIO,,,,,,,,,,
P38,TIE,,I/O/GCK3,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,VCC,,VCCINT,,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,TIE,,I/O,,,,,,,,,,
P50,Out<0>,O,I/O,OUTPUT,,,,,,,,,
P51,TIE,,I/O,,,,,,,,,,
P52,TIE,,I/O,,,,,,,,,,
P53,TIE,,I/O,,,,,,,,,,
P54,TIE,,I/O,,,,,,,,,,
P55,VCC,,VCCIO,,,,,,,,,,
P56,Out<4>,O,I/O,OUTPUT,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TIE,,I/O,,,,,,,,,,
P60,TIE,,I/O,,,,,,,,,,
P61,Out<20>,O,I/O,OUTPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,TIE,,I/O,,,,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,TIE,,I/O,,,,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,TIE,,I/O,,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,TIE,,I/O,,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,VCC,,VCCIO,,,,,,,,,,
P74,Out<3>,O,I/O,OUTPUT,,,,,,,,,
P75,TIE,,I/O,,,,,,,,,,
P76,Out<6>,O,I/O,OUTPUT,,,,,,,,,
P77,TIE,,I/O,,,,,,,,,,
P78,TIE,,I/O,,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,Out<2>,O,I/O,OUTPUT,,,,,,,,,
P81,Out<11>,O,I/O,OUTPUT,,,,,,,,,
P82,TIE,,I/O,,,,,,,,,,
P83,Out<29>,O,I/O,OUTPUT,,,,,,,,,
P84,VCC,,VCCINT,,,,,,,,,,
P85,TIE,,I/O,,,,,,,,,,
P86,Out<30>,O,I/O,OUTPUT,,,,,,,,,
P87,TIE,,I/O,,,,,,,,,,
P88,TIE,,I/O,,,,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,TIE,,I/O,,,,,,,,,,
P92,TIE,,I/O,,,,,,,,,,
P93,Out<18>,O,I/O,OUTPUT,,,,,,,,,
P94,TIE,,I/O,,,,,,,,,,
P95,TIE,,I/O,,,,,,,,,,
P96,TIE,,I/O,,,,,,,,,,
P97,TIE,,I/O,,,,,,,,,,
P98,TIE,,I/O,,,,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,TIE,,I/O,,,,,,,,,,
P101,Out<19>,O,I/O,OUTPUT,,,,,,,,,
P102,TIE,,I/O,,,,,,,,,,
P103,TIE,,I/O,,,,,,,,,,
P104,IN<7>,I,I/O,INPUT,,,,,,,,,
P105,TIE,,I/O,,,,,,,,,,
P106,TIE,,I/O,,,,,,,,,,
P107,TIE,,I/O,,,,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,VCC,,VCCIO,,,,,,,,,,
P110,Out<28>,O,I/O,OUTPUT,,,,,,,,,
P111,TIE,,I/O,,,,,,,,,,
P112,TIE,,I/O,,,,,,,,,,
P113,Out<31>,O,I/O,OUTPUT,,,,,,,,,
P114,GND,,GND,,,,,,,,,,
P115,IN<5>,I,I/O,INPUT,,,,,,,,,
P116,IN<4>,I,I/O,INPUT,,,,,,,,,
P117,Out<12>,O,I/O,OUTPUT,,,,,,,,,
P118,IN<1>,I,I/O,INPUT,,,,,,,,,
P119,Out<15>,O,I/O,OUTPUT,,,,,,,,,
P120,IN<15>,I,I/O,INPUT,,,,,,,,,
P121,Out<5>,O,I/O,OUTPUT,,,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,IN<13>,I,I/O,INPUT,,,,,,,,,
P125,Out<7>,O,I/O,OUTPUT,,,,,,,,,
P126,IN<11>,I,I/O,INPUT,,,,,,,,,
P127,VCC,,VCCIO,,,,,,,,,,
P128,Out<8>,O,I/O,OUTPUT,,,,,,,,,
P129,Out<9>,O,I/O,OUTPUT,,,,,,,,,
P130,Out<13>,O,I/O,OUTPUT,,,,,,,,,
P131,IN<0>,I,I/O,INPUT,,,,,,,,,
P132,IN<10>,I,I/O,INPUT,,,,,,,,,
P133,IN<12>,I,I/O,INPUT,,,,,,,,,
P134,IN<14>,I,I/O,INPUT,,,,,,,,,
P135,Out<25>,O,I/O,OUTPUT,,,,,,,,,
P136,IN<2>,I,I/O,INPUT,,,,,,,,,
P137,Out<26>,O,I/O,OUTPUT,,,,,,,,,
P138,IN<3>,I,I/O,INPUT,,,,,,,,,
P139,TIE,,I/O,,,,,,,,,,
P140,Out<27>,O,I/O,OUTPUT,,,,,,,,,
P141,VCC,,VCCINT,,,,,,,,,,
P142,IN<6>,I,I/O,INPUT,,,,,,,,,
P143,Reset,GSR,I/O/GSR,,,,,,,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


